,name,link
307,Шафранская Ирина Николаевна,https://www.hse.ru/staff/ishafranskaya
308,Шевелева Марина Сергеевна,https://www.hse.ru/org/persons/202229
309,Шеина Марина Витальевна,https://www.hse.ru/org/persons/190277
310,Шенкман (Попова) Евгения Андреевна,https://www.hse.ru/staff/shenkman
311,Шестакова Екатерина Николаевна,https://www.hse.ru/org/persons/44226919
312,Шестакова Лидия Валентиновна,https://www.hse.ru/org/persons/202366
313,Шиловских Петр Александрович,https://www.hse.ru/org/persons/308147953
314,Шкурихина Ольга Алексеевна,https://www.hse.ru/org/persons/337291165
315,Штенникова Анна Владимировна,https://www.hse.ru/org/persons/69660373
316,Щеколдина Наталья Юрьевна,https://www.hse.ru/org/persons/309288463
317,Щербаков Андрей Анатольевич,https://www.hse.ru/org/persons/45398741
318,Яковлева Вероника Валерьевна,https://www.hse.ru/org/persons/202139
319,Яркова Влада Вячеславовна,https://www.hse.ru/org/persons/386187652
320,Ясницкий Леонид Нахимович,https://www.hse.ru/org/persons/26436550
